column_name;data_type;total_rows;missing_count;missing_percentage;non_missing_count
code03_wais4;numerical;4051;0;0.0;4051
code04_wais4;numerical;4051;0;0.0;4051
code05_wais4;numerical;4051;0;0.0;4051
symbol01_wais4;numerical;4051;0;0.0;4051
symbol02_wais4;numerical;4051;0;0.0;4051
symbol03_wais4;numerical;4051;0;0.0;4051
symbol04_wais4;numerical;4051;0;0.0;4051
symbol05_wais4;numerical;4051;0;0.0;4051
ivt04_wais4;numerical;4051;0;0.0;4051
ivt01_wais4;numerical;4051;0;0.0;4051
cvlt14_wais4;numerical;4051;0;0.0;4051
cvlt13z_wais4;numerical;4051;0;0.0;4051
cvlt13_wais4;numerical;4051;0;0.0;4051
cvlt12z_wais4;numerical;4051;0;0.0;4051
mat_tot_wais4;numerical;4051;0;0.0;4051
mat_std_wais4;numerical;4051;0;0.0;4051
mat_cr_wais4;numerical;4051;0;0.0;4051
cvlt01_wais4;numerical;4051;0;0.0;4051
cvlt01z_wais4;numerical;4051;0;0.0;4051
cvlt02_wais4;numerical;4051;0;0.0;4051
cvlt03_wais4;numerical;4051;0;0.0;4051
cvlt04_wais4;numerical;4051;0;0.0;4051
cvlt05_wais4;numerical;4051;0;0.0;4051
cvlt05z_wais4;numerical;4051;0;0.0;4051
cvlt06_wais4;numerical;4051;0;0.0;4051
cvlt06z_wais4;numerical;4051;0;0.0;4051
cvlt07_wais4;numerical;4051;0;0.0;4051
cvlt07z_wais4;numerical;4051;0;0.0;4051
cvlt08_wais4;numerical;4051;0;0.0;4051
cvlt08z_wais4;numerical;4051;0;0.0;4051
cvlt09_wais4;numerical;4051;0;0.0;4051
cvlt09z_wais4;numerical;4051;0;0.0;4051
cvlt10_wais4;numerical;4051;0;0.0;4051
cvlt10z_wais4;numerical;4051;0;0.0;4051
cvlt11_wais4;numerical;4051;0;0.0;4051
cvlt11z_wais4;numerical;4051;0;0.0;4051
cvlt12_wais4;numerical;4051;0;0.0;4051
ivt02_wais4;numerical;4051;0;0.0;4051
tmta01_wais4;numerical;4051;0;0.0;4051
cclin05_wais4;categorical;4051;0;0.0;4051
fv19_wais4;numerical;4051;0;0.0;4051
strooi03_wais4;numerical;4051;0;0.0;4051
fv01_wais4;numerical;4051;0;0.0;4051
fv02_wais4;numerical;4051;0;0.0;4051
fv03_wais4;numerical;4051;0;0.0;4051
fv05_wais4;numerical;4051;0;0.0;4051
fv08_wais4;numerical;4051;0;0.0;4051
fv12_wais4;numerical;4051;0;0.0;4051
fv13_wais4;numerical;4051;0;0.0;4051
fv14_wais4;numerical;4051;0;0.0;4051
fv15_wais4;numerical;4051;0;0.0;4051
fv16_wais4;numerical;4051;0;0.0;4051
msdtot_wais4;numerical;4051;0;0.0;4051
tmta01a_wais4;numerical;4051;0;0.0;4051
msdstd_wais4;numerical;4051;0;0.0;4051
msdcr_wais4;numerical;4051;0;0.0;4051
msitot_wais4;numerical;4051;0;0.0;4051
msistd_wais4;numerical;4051;0;0.0;4051
msicr_wais4;numerical;4051;0;0.0;4051
mstbrut_wais4;numerical;4051;0;0.0;4051
mststd_wais4;numerical;4051;0;0.0;4051
mstcr_wais4;numerical;4051;0;0.0;4051
cclin02_wais4;categorical;4051;0;0.0;4051
cclin03_wais4;categorical;4051;0;0.0;4051
cclin04_wais4;categorical;4051;0;0.0;4051
strooi02_wais4;numerical;4051;0;0.0;4051
strooi01_wais4;numerical;4051;0;0.0;4051
strooc06_wais4;numerical;4051;0;0.0;4051
strooc05_wais4;numerical;4051;0;0.0;4051
tmta01b_wais4;numerical;4051;0;0.0;4051
tmta02b_wais4;numerical;4051;0;0.0;4051
